Задание: Расчёт значения ряда в точке. ui(x) = (-1)^i*2^(2i)*(i!)^2*x^(2i+1)/(2i+1)!
Автор: Николаев Всеволод Юрьевич    Группа: 2302       Версия: 1
Дата начала: 12.10.2022             Дата окончания:
eps = 0.00000000000000100000
x = 0.99899999999999999911
===========================================================
|  i  |            u            |            s            |
| 228 | -0.03724884062811573138 | +0.60445121259155776272 |
| 229 | +0.03709303581890428803 | +0.64154424841046209238 |
| 230 | -0.03693823567071558706 | +0.60460601273974645675 |
| 231 | +0.03678442998546750664 | +0.64139044272521394952 |
| 232 | -0.03663160871357682563 | +0.60475883401163710307 |
| 233 | +0.03647976195113955544 | +0.64123859596277665851 |
| 234 | -0.03632887993717696246 | +0.60490971602559973075 |
| 235 | +0.03617895305094548375 | +0.64108866907654515899 |
| 236 | -0.03602997180930875287 | +0.60505869726723637836 |
| 237 | +0.03588192686417005645 | +0.64094062413140640011 |
| 238 | -0.03573480899996359789 | +0.60520581513144278141 |
| 239 | +0.03558860913120291680 | +0.64079442426264565658 |
| 240 | -0.03544331830008502771 | +0.60535110596256058724 |
| 241 | +0.03529892767414868210 | +0.64065003363670924852 |
| 242 | -0.03515542854398535227 | +0.60549460509272390318 |
| 243 | +0.03501281232100154212 | +0.64050741741372541060 |
| 244 | -0.03487107053523105793 | +0.60563634687849432492 |
| 245 | +0.03473019483319589318 | +0.64036654171169016259 |
| 246 | -0.03459017697581451278 | +0.60577636473587559429 |
| 247 | +0.03445100883635621170 | +0.64022737357223180599 |
| 248 | -0.03431268239844043055 | +0.60591469117379137543 |
| 249 | +0.03417518975407982107 | +0.64008988092787122426 |
| 250 | -0.03403852310176590235 | +0.60605135782610530804 |
| 251 | +0.03390267474459628116 | +0.63995403257070160308 |
| 252 | -0.03376763708844230522 | +0.60618639548225927705 |
| 253 | +0.03363340264015616393 | +0.63981979812241540628 |
| 254 | -0.03349996400581640305 | +0.60631983411659895467 |
| 255 | +0.03336731388901088141 | +0.63968714800560988465 |
| 256 | -0.03323544508915624723 | +0.60645170291645367211 |
| 257 | +0.03310435049985299694 | +0.63955605341630672456 |
| 258 | -0.03297402310727524238 | +0.60658203030903146136 |
| 259 | +0.03284445598859427745 | +0.63942648629762577350 |
| 260 | -0.03271564231043517373 | +0.60671084398719055120 |
